Pin Name,Pin_#,Latitude,Longitude,Height
Tessellated,pin_1,36.10677870477137,-112.0814237830345,0
Tessellated,pin_2,36.0905099328766,-112.0870267752693,0
Untessellated,pin_1,36.10673460007995,-112.080622229595,0
Untessellated,pin_2,36.09049598612422,-112.085242575315,0
Absolute,pin_1,36.09447672602546,-112.265654928602,2357
Absolute,pin_2,36.09342608838671,-112.2660384528238,2357
Absolute,pin_3,36.09251058776881,-112.2668139013453,2357
Absolute,pin_4,36.09189827357996,-112.2677826834445,2357
Absolute,pin_5,36.0913137941187,-112.2688557510952,2357
Absolute,pin_6,36.0903677207521,-112.2694810717219,2357
Absolute,pin_7,36.08932171487285,-112.2695268555611,2357
Absolute,pin_8,36.08850916060472,-112.2690144567276,2357
Absolute,pin_9,36.08753813597956,-112.2681528815339,2357
Absolute,pin_10,36.08682685262568,-112.2670588176031,2357
Absolute,pin_11,36.08646312301303,-112.2657374587321,2357
Absolute Extruded,pin_1,36.07954952145647,-112.2550785337791,2357
Absolute Extruded,pin_2,36.08117083492122,-112.2549277039738,2357
Absolute Extruded,pin_3,36.08260761307279,-112.2552505069063,2357
Absolute Extruded,pin_4,36.08395660588506,-112.2564540158376,2357
Absolute Extruded,pin_5,36.08511401044813,-112.2580238976449,2357
Absolute Extruded,pin_6,36.08584355239394,-112.2595218489022,2357
Absolute Extruded,pin_7,36.08612634548589,-112.2608216347552,2357
Absolute Extruded,pin_8,36.08626019085147,-112.262073428656,2357
Absolute Extruded,pin_9,36.08621519860091,-112.2633204928495,2357
Absolute Extruded,pin_10,36.08627897945274,-112.2644963846444,2357
Absolute Extruded,pin_11,36.08649599090644,-112.2656969554589,2357
Relative,pin_1,36.09886943729116,-112.2532845153347,645
Relative,pin_2,36.09919570465255,-112.2540466121145,645
Relative,pin_3,36.09984998366178,-112.254734666947,645
Relative,pin_4,36.10051310621746,-112.255493345654,645
Relative,pin_5,36.10108441943419,-112.2563157098468,645
Relative,pin_6,36.10159722088088,-112.2568033076439,645
Relative,pin_7,36.10204323542867,-112.257494011321,645
Relative,pin_8,36.10229131995655,-112.2584106072308,645
Relative,pin_9,36.10240001286358,-112.2596588987972,645
Relative,pin_10,36.10213176873407,-112.2610581199487,645
Relative,pin_11,36.10157011437219,-112.2626285262793,645
Relative Extruded,pin_1,36.09445214722695,-112.2656634181359,630
Relative Extruded,pin_2,36.09520916122063,-112.2652238941097,630
Relative Extruded,pin_3,36.09580763864907,-112.2645079986395,630
Relative Extruded,pin_4,36.09628572284063,-112.2638827428817,630
Relative Extruded,pin_5,36.09679275951239,-112.2635746835406,630
Relative Extruded,pin_6,36.09740038871899,-112.2635711822407,630
Relative Extruded,pin_7,36.09804913435539,-112.2640296531825,630
Relative Extruded,pin_8,36.09880337400301,-112.264327720538,630
Relative Extruded,pin_9,36.09963644790288,-112.2642436562271,630
Relative Extruded,pin_10,36.10055381117246,-112.2639148687042,630
Relative Extruded,pin_11,36.10149062823369,-112.2626894973474,630
